,Age,G,GS,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,NY/A,ANY/A,4QC,GWD,QB-Wins
0,28.0,17.0,17.0,70.6,4918.0,43.0,6.6,9.0,1.4,253.0,53.6,70.0,7.5,8.24,10.7,289.3,108.5,74.7,6.63,7.28,1.0,2.0,9
1,30.0,17.0,17.0,72.4,4629.0,37.0,6.9,12.0,2.2,236.0,54.7,82.0,8.6,8.96,11.9,272.3,111.8,68.4,7.71,8.06,4.0,4.0,15
2,29.0,17.0,17.0,71.4,4500.0,41.0,7.2,16.0,2.8,224.0,53.9,57.0,7.9,8.07,11.1,264.7,106.8,61.6,6.97,7.13,2.0,2.0,10
3,34.0,17.0,17.0,70.4,4320.0,21.0,3.6,15.0,2.6,209.0,48.4,71.0,7.5,7.03,10.6,254.1,93.2,53.8,6.34,5.93,4.0,4.0,10
4,27.0,17.0,17.0,66.2,4319.0,35.0,6.4,12.0,2.2,207.0,47.7,97.0,7.9,8.22,12.0,254.1,102.5,60.4,6.72,6.99,3.0,5.0,14
5,27.0,17.0,17.0,66.7,4172.0,41.0,8.6,4.0,0.8,198.0,51.3,84.0,8.8,10.15,13.2,245.4,119.6,77.3,8.09,9.38,2.0,2.0,12
6,29.0,16.0,16.0,67.5,3928.0,26.0,4.5,11.0,1.9,214.0,50.7,54.0,6.8,6.8,10.0,245.5,93.5,67.6,5.98,6.02,5.0,7.0,15
7,41.0,17.0,17.0,63.0,3897.0,28.0,4.8,11.0,1.9,192.0,43.9,71.0,6.7,6.78,10.6,229.2,90.5,48.0,5.76,5.87,2.0,3.0,5
8,26.0,17.0,17.0,65.9,3870.0,23.0,4.6,3.0,0.6,175.0,44.4,66.0,7.7,8.32,11.7,227.6,101.7,64.8,6.65,7.25,1.0,2.0,11
9,25.0,15.0,15.0,65.9,3864.0,20.0,4.4,12.0,2.6,178.0,49.4,76.0,8.5,8.18,12.9,257.6,96.1,67.9,7.63,7.34,1.0,1.0,6
10,27.0,17.0,17.0,68.8,3851.0,21.0,3.9,11.0,2.0,191.0,51.7,60.0,7.1,6.98,10.4,226.5,93.5,66.5,6.36,6.23,3.0,3.0,8
11,24.0,17.0,17.0,66.3,3775.0,29.0,5.1,12.0,2.1,170.0,43.7,93.0,6.7,6.73,10.0,222.1,93.3,56.8,6.05,6.12,3.0,3.0,10
12,36.0,16.0,16.0,65.8,3762.0,20.0,3.9,8.0,1.5,176.0,50.1,69.0,7.3,7.35,11.1,235.1,93.7,64.7,6.51,6.59,3.0,5.0,10
13,28.0,17.0,17.0,63.6,3731.0,28.0,5.8,6.0,1.2,173.0,49.1,64.0,7.7,8.33,12.2,219.5,101.4,77.3,7.38,7.96,0.0,2.0,13
14,23.0,17.0,17.0,63.2,3727.0,20.0,3.8,12.0,2.3,187.0,43.0,67.0,7.0,6.74,11.1,219.2,87.0,49.8,5.68,5.44,1.0,2.0,10
15,24.0,17.0,17.0,69.0,3568.0,25.0,5.2,9.0,1.9,170.0,47.1,86.0,7.4,7.63,10.8,209.9,100.1,70.6,6.32,6.5,4.0,4.0,12
16,23.0,17.0,17.0,62.5,3541.0,20.0,3.6,6.0,1.1,171.0,40.3,47.0,6.3,6.53,10.1,208.3,87.8,46.7,4.88,5.09,2.0,1.0,5
17,36.0,14.0,14.0,66.9,3508.0,18.0,4.0,16.0,3.5,163.0,46.4,60.0,7.7,6.95,11.6,250.6,88.6,50.4,6.88,6.13,3.0,3.0,7
18,26.0,15.0,15.0,63.1,3389.0,25.0,5.9,11.0,2.6,151.0,48.3,70.0,8.0,7.99,12.6,225.9,96.7,69.3,7.5,7.51,2.0,2.0,9
19,26.0,15.0,15.0,68.7,2903.0,18.0,5.0,5.0,1.4,139.0,46.6,67.0,8.0,8.42,11.7,193.5,103.7,65.6,6.6,6.93,3.0,4.0,12
20,26.0,11.0,11.0,72.9,2867.0,19.0,4.8,7.0,1.8,161.0,51.9,80.0,7.2,7.35,9.9,260.6,101.4,60.3,6.46,6.61,2.0,2.0,6
21,36.0,11.0,11.0,63.7,2482.0,16.0,4.8,5.0,1.5,112.0,43.6,46.0,7.4,7.67,11.6,225.6,95.6,51.3,6.13,6.39,1.0,1.0,6
22,23.0,14.0,12.0,60.9,2403.0,15.0,3.9,9.0,2.3,117.0,39.0,83.0,6.3,5.98,10.3,171.6,82.2,54.1,5.37,5.11,1.0,4.0,4
23,22.0,13.0,12.0,66.6,2276.0,15.0,4.4,10.0,3.0,112.0,46.0,40.0,6.7,6.29,10.1,175.1,88.1,58.6,5.5,5.1,0.0,0.0,3
24,33.0,10.0,10.0,67.7,2145.0,15.0,5.4,5.0,1.8,93.0,45.3,71.0,7.7,7.96,11.3,214.5,101.0,63.4,7.31,7.57,0.0,1.0,5
26,25.0,12.0,12.0,63.1,2091.0,13.0,4.3,12.0,4.0,86.0,36.5,98.0,6.9,6.02,11.0,174.3,81.4,27.8,5.43,4.61,1.0,1.0,2
27,27.0,10.0,10.0,63.3,2070.0,8.0,2.3,7.0,2.1,106.0,43.0,43.0,6.1,5.62,9.6,207.0,79.4,47.8,5.13,4.71,0.0,0.0,2
28,25.0,10.0,10.0,60.6,2045.0,11.0,3.9,7.0,2.5,97.0,45.4,85.0,7.2,6.87,11.9,204.5,85.2,59.5,6.31,5.99,0.0,1.0,2
29,28.0,10.0,9.0,66.3,2013.0,9.0,2.9,10.0,3.3,106.0,44.2,57.0,6.6,5.7,9.9,201.3,81.0,38.1,5.52,4.71,1.0,1.0,2
32,22.0,11.0,11.0,47.7,1814.0,8.0,3.0,12.0,4.5,73.0,36.0,69.0,6.9,5.43,14.4,164.9,61.6,47.4,6.11,4.74,2.0,3.0,6
